Date ; Time ;Ceïa virsmas temperatûra °C ;Temperatûra -5 cm °C ;Temperatûra -30 cm °C ;Sasalðanas temperatûra °C ;Ûdens filmas biezums µm ;Sâls koncentrâcija % ;Ceïa stâvoklis logic ;Vçja âtrums m/s ;Vçja virziens ° ;Vçja âtrums Max m/s ;Gaisa temperatûra °C ;Rel. mitrums % ;Rasas punkts °C ;Nokriðòu daudz. dif. l/m² ;Nokriðòu tips  ;Redzamîba m ;Nokriðòu daudz. apsol. mm ;
2019/09/02;00:01:00;22.10;27.70;27.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.43;79.11;14.74;0.00;0.00;2000.00;8.31;
2019/09/02;00:06:00;22.10;27.70;27.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.36;79.55;14.76;0.00;0.00;2000.00;8.31;
2019/09/02;00:11:00;22.00;27.70;27.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.27;79.85;14.73;0.00;0.00;2000.00;8.31;
2019/09/02;00:16:00;21.90;27.50;27.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.19;80.30;14.74;0.00;0.00;2000.00;8.31;
2019/09/02;00:21:00;21.80;27.40;27.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.13;80.59;14.73;0.00;0.00;2000.00;8.31;
2019/09/02;00:26:00;21.80;27.40;27.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.01;80.93;14.68;0.00;0.00;2000.00;8.31;
2019/09/02;00:31:00;21.70;27.40;27.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.00;81.29;14.74;0.00;0.00;2000.00;8.31;
2019/09/02;00:36:00;21.60;27.40;27.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.93;81.49;14.71;0.00;0.00;2000.00;8.31;
2019/09/02;00:41:00;21.50;27.30;27.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.84;81.78;14.68;0.00;0.00;2000.00;8.31;
2019/09/02;00:46:00;21.50;27.30;27.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.80;82.16;14.72;0.00;0.00;2000.00;8.31;
2019/09/02;00:51:00;21.40;27.30;27.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.75;82.27;14.69;0.00;0.00;2000.00;8.31;
2019/09/02;00:56:00;21.40;27.20;27.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.68;82.47;14.66;0.00;0.00;2000.00;8.31;
2019/09/02;01:01:00;21.30;27.20;27.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.61;82.70;14.63;0.00;0.00;2000.00;8.31;
2019/09/02;01:06:00;21.20;27.10;27.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.56;82.90;14.62;0.00;0.00;2000.00;8.31;
2019/09/02;01:11:00;21.20;27.10;27.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.46;83.13;14.56;0.00;0.00;2000.00;8.31;
2019/09/02;01:16:00;21.10;27.10;27.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.40;83.29;14.54;0.00;0.00;2000.00;8.31;
2019/09/02;01:21:00;21.00;26.90;27.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.31;83.53;14.49;0.00;0.00;2000.00;8.31;
2019/09/02;01:26:00;21.00;26.90;27.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.24;83.77;14.47;0.00;0.00;2000.00;8.31;
2019/09/02;01:31:00;21.00;26.90;27.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.22;84.03;14.50;0.00;0.00;2000.00;8.31;
2019/09/02;01:36:00;21.00;26.80;27.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.19;84.08;14.48;0.00;0.00;2000.00;8.31;
2019/09/02;01:41:00;20.90;26.80;26.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.15;84.31;14.48;0.00;0.00;2000.00;8.31;
2019/09/02;01:46:00;20.90;26.80;26.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.06;84.43;14.41;0.00;0.00;2000.00;8.31;
2019/09/02;01:51:00;20.80;26.70;26.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.07;84.66;14.47;0.00;0.00;2000.00;8.31;
2019/09/02;01:56:00;20.70;26.70;26.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.01;84.71;14.42;0.00;0.00;2000.00;8.31;
2019/09/02;02:01:00;20.70;26.70;26.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.98;84.89;14.42;0.00;0.00;2000.00;8.31;
2019/09/02;02:06:00;20.60;26.60;26.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.92;85.02;14.38;0.00;0.00;2000.00;8.31;
2019/09/02;02:11:00;20.60;26.60;26.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.87;85.07;14.35;0.00;0.00;2000.00;8.31;
2019/09/02;02:16:00;20.50;26.50;26.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.78;85.22;14.28;0.00;0.00;2000.00;8.31;
2019/09/02;02:21:00;20.40;26.50;26.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.71;85.33;14.23;0.00;0.00;2000.00;8.31;
2019/09/02;02:26:00;20.40;26.50;26.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.60;85.49;14.15;0.00;0.00;2000.00;8.31;
2019/09/02;02:31:00;20.30;26.50;26.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.53;85.64;14.11;0.00;0.00;2000.00;8.31;
2019/09/02;02:36:00;20.30;26.30;26.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.43;85.74;14.03;0.00;0.00;2000.00;8.31;
2019/09/02;02:41:00;20.20;26.30;26.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.37;85.94;14.01;0.00;0.00;2000.00;8.31;
2019/09/02;02:46:00;20.10;26.20;26.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.24;86.16;13.93;0.00;0.00;2000.00;8.31;
2019/09/02;02:51:00;20.10;26.20;26.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.16;86.32;13.88;0.00;0.00;2000.00;8.31;
2019/09/02;02:56:00;20.00;26.20;26.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.11;86.58;13.87;0.00;0.00;2000.00;8.31;
2019/09/02;03:01:00;20.00;26.10;26.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.11;86.79;13.90;0.00;0.00;2000.00;8.31;
2019/09/02;03:06:00;19.90;26.10;26.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03;86.93;13.85;0.00;0.00;2000.00;8.31;
2019/09/02;03:11:00;19.90;26.10;26.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.96;87.16;13.83;0.00;0.00;2000.00;8.31;
2019/09/02;03:16:00;19.90;26.00;26.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.93;87.41;13.84;0.00;0.00;2000.00;8.31;
2019/09/02;03:21:00;19.80;26.00;26.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.89;87.52;13.82;0.00;0.00;2000.00;8.31;
2019/09/02;03:26:00;19.80;26.00;26.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.85;87.78;13.82;0.00;0.00;2000.00;8.31;
2019/09/02;03:31:00;19.80;26.00;26.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.80;87.93;13.80;0.00;0.00;2000.00;8.31;
2019/09/02;03:36:00;19.70;25.90;26.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.78;88.08;13.81;0.00;0.00;2000.00;8.31;
2019/09/02;03:41:00;19.70;25.90;26.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.69;88.22;13.75;0.00;0.00;2000.00;8.31;
2019/09/02;03:46:00;19.60;25.90;26.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.67;88.46;13.77;0.00;0.00;2000.00;8.31;
2019/09/02;03:51:00;19.60;25.80;26.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.65;88.58;13.77;0.00;0.00;2000.00;8.31;
2019/09/02;03:56:00;19.50;25.80;26.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.64;88.77;13.79;0.00;0.00;2000.00;8.31;
2019/09/02;04:01:00;19.50;25.60;26.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.58;88.87;13.75;0.00;0.00;2000.00;8.31;
2019/09/02;04:06:00;19.40;25.60;25.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.52;89.05;13.72;0.00;0.00;2000.00;8.31;
