"DateTime";"RoadSurfaceT";"SoilMinus5T";"SoilMinus30T";"FreezingT";"WaterFilmMicroM";"NaClPercent";"RoadState";"WindSpeed";"WindDirectDeg";"WindGustMS";"AirTemp";"RelHumidity";"DewPointDeg";"PrecipitationLM2";"PrecType";"VisibilityM";"PrecAbsolMM";
"2019-08-27 15:56:00";43.10;28.90;28.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.95;44.37;14.69;0.02;0.00;2000.00;7.89;
"2019-08-27 16:01:00";43.10;29.00;28.50;0.00;0.00;0.00;0.00;1.48;76.79;3.64;27.68;44.45;14.48;0.00;0.00;2000.00;7.89;
"2019-08-27 16:06:00";42.90;29.00;28.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.64;45.49;14.80;0.00;0.00;2000.00;7.89;
"2019-08-27 16:11:00";42.80;29.10;28.60;0.00;0.00;0.00;0.00;2.37;48.78;2.37;27.86;44.08;14.51;0.00;0.00;2000.00;7.89;
"2019-08-27 16:16:00";42.60;29.10;28.60;0.00;0.00;0.00;0.00;0.00;0.00;1.70;27.61;44.95;14.59;0.00;0.00;2000.00;7.89;
"2019-08-27 16:21:00";42.40;29.30;28.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.45;44.98;14.46;0.00;0.00;2000.00;7.89;
"2019-08-27 16:26:00";42.30;29.30;28.80;0.00;0.00;0.00;0.00;2.01;160.47;2.01;27.67;44.86;14.61;0.00;0.00;2000.00;7.89;
"2019-08-27 16:31:00";42.10;29.40;28.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.58;44.81;14.51;0.00;0.00;2000.00;7.89;
"2019-08-27 16:36:00";42.00;29.50;29.00;0.00;0.00;0.00;0.00;0.00;0.00;0.84;27.96;45.23;15.00;0.00;0.00;2000.00;7.89;
"2019-08-27 16:41:00";41.70;29.50;29.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.11;43.32;14.46;0.00;0.00;2000.00;7.89;
"2019-08-27 16:46:00";41.70;29.70;29.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.11;46.38;15.53;0.00;0.00;2000.00;7.89;
"2019-08-27 16:51:00";41.40;29.70;29.10;0.00;0.00;0.00;0.00;0.00;0.00;0.58;28.21;42.99;14.44;0.00;0.00;2000.00;7.89;
"2019-08-27 16:56:00";41.20;29.80;29.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.06;42.23;14.03;0.00;0.00;2000.00;7.89;
"2019-08-27 17:01:00";41.10;29.80;29.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.30;42.05;14.18;0.00;0.00;2000.00;7.89;
"2019-08-27 17:06:00";40.90;29.90;29.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.08;42.62;14.19;0.00;0.00;2000.00;7.89;
"2019-08-27 17:11:00";40.60;29.90;29.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.80;43.11;14.11;0.00;0.00;2000.00;7.89;
"2019-08-27 17:16:00";40.30;30.00;29.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.95;43.37;14.34;0.00;0.00;2000.00;7.89;
"2019-08-27 17:21:00";40.00;30.00;29.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.79;43.23;14.15;0.00;0.00;2000.00;7.89;
"2019-08-27 17:26:00";39.90;30.00;29.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.85;44.82;14.76;0.00;0.00;2000.00;7.89;
"2019-08-27 17:31:00";39.60;30.20;29.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.83;42.49;13.92;0.00;0.00;2000.00;7.89;
"2019-08-27 17:36:00";39.30;30.20;29.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.66;42.20;13.65;0.00;0.00;2000.00;7.89;
"2019-08-27 17:41:00";39.20;30.20;29.70;0.00;0.00;0.00;0.00;1.06;69.38;2.48;27.82;42.61;13.95;0.00;0.00;2000.00;7.89;
"2019-08-27 17:46:00";38.70;30.30;29.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.77;41.59;13.53;0.00;0.00;2000.00;7.89;
"2019-08-27 17:51:00";38.60;30.30;29.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.69;42.59;13.83;0.00;0.00;2000.00;7.89;
"2019-08-27 17:56:00";38.30;30.30;29.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.67;42.53;13.79;0.00;0.00;2000.00;7.89;
"2019-08-27 18:01:00";38.00;30.40;29.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.78;41.99;13.68;0.00;0.00;2000.00;7.89;
"2019-08-27 18:06:00";37.80;30.40;29.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.85;43.36;14.25;0.00;0.00;2000.00;7.89;
"2019-08-27 18:11:00";37.50;30.40;29.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.76;42.47;13.85;0.00;0.00;2000.00;7.89;
"2019-08-27 18:16:00";37.10;30.40;30.00;0.00;0.00;0.00;0.00;0.00;0.00;3.15;27.67;41.63;13.46;0.00;0.00;2000.00;7.89;
"2019-08-27 18:21:00";36.80;30.60;30.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.46;44.22;14.19;0.00;0.00;2000.00;7.89;
"2019-08-27 18:26:00";36.50;30.60;30.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.54;44.26;14.29;0.00;0.00;2000.00;7.89;
"2019-08-27 18:31:00";36.30;30.60;30.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.48;43.63;14.01;0.00;0.00;2000.00;7.89;
"2019-08-27 18:36:00";35.70;30.60;30.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.36;44.11;14.07;0.00;0.00;2000.00;7.89;
"2019-08-27 18:41:00";35.40;30.60;30.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.21;44.99;14.23;0.00;0.00;2000.00;7.89;
"2019-08-27 18:46:00";35.10;30.70;30.20;0.00;0.00;0.00;0.00;0.00;0.00;0.72;27.14;44.39;13.97;0.00;0.00;2000.00;7.89;
"2019-08-27 18:51:00";34.90;30.70;30.20;0.00;0.00;0.00;0.00;0.70;87.84;3.12;27.14;44.18;13.90;0.00;0.00;2000.00;7.89;
"2019-08-27 18:56:00";34.50;30.70;30.20;0.00;0.00;0.00;0.00;2.33;78.72;2.33;27.09;43.75;13.70;0.00;0.00;2000.00;7.89;
"2019-08-27 19:01:00";34.20;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;1.54;27.10;44.28;13.89;0.00;0.00;2000.00;7.89;
"2019-08-27 19:06:00";34.00;30.70;30.30;0.00;0.00;0.00;0.00;1.83;42.25;2.38;26.98;44.48;13.85;0.00;0.00;2000.00;7.89;
"2019-08-27 19:11:00";33.50;30.70;30.20;0.00;0.00;0.00;0.00;2.07;63.35;2.45;26.96;43.58;13.52;0.00;0.00;2000.00;7.89;
"2019-08-27 19:16:00";33.20;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.85;44.97;13.90;0.00;0.00;2000.00;7.89;
"2019-08-27 19:21:00";32.90;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.65;45.13;13.77;0.00;0.00;2000.00;7.89;
"2019-08-27 19:26:00";32.40;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.40;46.18;13.91;0.00;0.00;2000.00;7.89;
"2019-08-27 19:31:00";32.00;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.29;46.63;13.95;0.00;0.00;2000.00;7.89;
"2019-08-27 19:36:00";31.70;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.13;47.04;13.95;0.00;0.00;2000.00;7.89;
"2019-08-27 19:41:00";31.30;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.98;47.56;13.98;0.00;0.00;2000.00;7.89;
"2019-08-27 19:46:00";31.00;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.94;47.53;13.93;0.00;0.00;2000.00;7.89;
"2019-08-27 19:51:00";30.70;30.70;30.30;0.00;0.00;0.00;0.00;0.64;75.75;0.91;25.88;48.30;14.12;0.00;0.00;2000.00;7.89;
"2019-08-27 19:56:00";30.40;30.70;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.66;49.37;14.26;0.00;0.00;2000.00;7.89;
"2019-08-27 20:01:00";30.10;30.60;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.43;50.41;14.37;0.00;0.00;2000.00;7.89;
"2019-08-27 20:06:00";29.80;30.60;30.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.09;51.49;14.39;0.00;0.00;2000.00;7.89;
