Date ; Time ;Ceïa virsmas temperatûra °C ;Temperatûra -5 cm °C ;Temperatûra -30 cm °C ;Sasalðanas temperatûra °C ;Ûdens filmas biezums µm ;Sâls koncentrâcija % ;Ceïa stâvoklis logic ;Vçja âtrums m/s ;Vçja virziens ° ;Vçja âtrums Max m/s ;Gaisa temperatûra °C ;Rel. mitrums % ;Rasas punkts °C ;Nokriðòu daudz. dif. l/m² ;Nokriðòu tips  ;Redzamîba m ;Nokriðòu daudz. apsol. mm ;
2019/09/23;00:03:00;4.30;10.70;11.10;0.00;14.00;0.00;0.00;0.00;0.00;0.00;2.64;96.74;2.18;0.00;0.00;2000.00;67.51;
2019/09/23;00:08:00;4.30;10.70;11.10;0.00;11.00;0.00;0.00;0.00;0.00;0.00;2.61;96.67;2.14;0.00;0.00;2000.00;67.51;
2019/09/23;00:13:00;4.30;10.60;11.00;0.00;14.00;0.00;0.00;0.00;0.00;0.00;2.44;96.57;1.95;0.00;0.00;2000.00;67.51;
2019/09/23;00:18:00;4.20;10.60;11.00;0.00;16.00;0.00;0.00;0.00;0.00;0.00;2.36;96.69;1.89;0.00;0.00;2000.00;67.51;
2019/09/23;00:23:00;4.20;10.60;11.00;0.00;16.00;0.00;0.00;0.00;0.00;0.00;2.35;96.99;1.92;0.00;0.00;2000.00;67.51;
2019/09/23;00:28:00;4.20;10.60;11.00;0.00;16.00;0.00;0.00;0.00;0.00;0.00;2.36;97.05;1.94;0.00;0.00;2000.00;67.51;
2019/09/23;00:33:00;4.20;10.50;10.90;0.00;19.00;0.00;0.00;0.00;0.00;0.00;2.40;97.00;1.97;0.00;0.00;2000.00;67.51;
2019/09/23;00:38:00;4.20;10.50;10.90;0.00;19.00;0.00;0.00;0.00;0.00;0.00;2.40;97.08;1.99;0.00;0.00;2000.00;67.51;
2019/09/23;00:43:00;4.20;10.50;10.90;0.00;19.00;0.00;0.00;0.00;0.00;0.00;2.35;97.00;1.92;0.00;0.00;2000.00;67.51;
2019/09/23;00:48:00;4.10;10.40;10.90;0.00;21.00;0.00;0.00;0.00;0.00;0.00;2.34;97.10;1.93;0.00;0.00;2000.00;67.51;
2019/09/23;00:53:00;4.10;10.40;10.80;0.00;21.00;0.00;0.00;0.00;0.00;0.00;2.18;96.87;1.73;0.00;0.00;2000.00;67.51;
2019/09/23;00:58:00;4.00;10.40;10.80;0.00;19.00;0.00;0.00;0.00;0.00;0.00;2.08;97.12;1.67;0.00;0.00;2000.00;67.51;
2019/09/23;01:03:00;4.00;10.40;10.80;0.00;19.00;0.00;0.00;0.00;0.00;0.00;2.09;97.26;1.70;0.00;0.00;2000.00;67.51;
2019/09/23;01:08:00;3.90;10.30;10.80;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.99;97.25;1.60;0.00;0.00;2000.00;67.51;
2019/09/23;01:13:00;3.90;10.30;10.70;0.00;19.00;0.00;0.00;0.00;0.00;0.00;2.00;97.35;1.63;0.00;0.00;2000.00;67.51;
2019/09/23;01:18:00;3.70;10.30;10.70;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.87;97.18;1.47;0.00;0.00;2000.00;67.51;
2019/09/23;01:23:00;3.70;10.30;10.70;0.00;16.00;0.00;0.00;0.00;0.00;0.00;1.76;96.92;1.32;0.00;0.00;2000.00;67.51;
2019/09/23;01:28:00;3.70;10.20;10.70;0.00;16.00;0.00;0.00;0.00;0.00;0.00;1.56;97.19;1.16;0.00;0.00;2000.00;67.51;
2019/09/23;01:33:00;3.70;10.20;10.60;0.00;16.00;0.00;0.00;0.00;0.00;0.00;1.52;97.47;1.17;0.00;0.00;2000.00;67.51;
2019/09/23;01:38:00;3.70;10.20;10.60;0.00;16.00;0.00;0.00;0.00;0.00;0.00;1.57;97.67;1.25;0.00;0.00;2000.00;67.51;
2019/09/23;01:43:00;3.70;10.20;10.60;0.00;16.00;0.00;0.00;0.00;0.00;0.00;1.64;97.73;1.32;0.00;0.00;2000.00;67.51;
2019/09/23;01:48:00;3.60;10.20;10.60;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.64;97.68;1.31;0.00;0.00;2000.00;67.51;
2019/09/23;01:53:00;3.60;10.20;10.50;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.53;97.49;1.17;0.00;0.00;2000.00;67.51;
2019/09/23;01:58:00;3.50;10.20;10.50;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.64;97.92;1.35;0.00;0.00;2000.00;67.51;
2019/09/23;02:03:00;3.50;10.10;10.50;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.78;97.90;1.49;0.00;0.00;2000.00;67.51;
2019/09/23;02:08:00;3.50;10.10;10.50;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.82;97.93;1.52;0.00;0.00;2000.00;67.51;
2019/09/23;02:13:00;3.40;10.10;10.40;0.00;19.00;0.00;0.00;0.00;0.00;0.00;1.80;97.75;1.48;0.00;0.00;2000.00;67.51;
2019/09/23;02:18:00;3.50;10.10;10.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.70;97.74;1.38;0.00;0.00;2000.00;67.51;
2019/09/23;02:23:00;3.50;10.00;10.40;0.00;11.00;0.00;0.00;0.00;0.00;0.00;1.64;97.79;1.33;0.00;0.00;2000.00;67.51;
2019/09/23;02:28:00;3.40;10.00;10.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;97.83;1.26;0.00;0.00;2000.00;67.51;
2019/09/23;02:33:00;3.40;10.00;10.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.50;97.76;1.19;0.00;0.00;2000.00;67.51;
2019/09/23;02:38:00;3.40;10.00;10.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.41;97.80;1.10;0.00;0.00;2000.00;67.51;
2019/09/23;02:43:00;3.40;9.90;10.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.27;97.78;0.96;0.00;0.00;2000.00;67.51;
2019/09/23;02:48:00;3.30;9.90;10.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.16;97.70;0.84;0.00;0.00;2000.00;67.51;
2019/09/23;02:53:00;3.30;9.90;10.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.01;97.72;0.70;0.00;0.00;2000.00;67.51;
