"Hour","N_L1D1","N_L2D1","S_L1D1","S_L2D1","E_L1D1","E_L2D1","W_L1D1","W_L2D1","W_L3D1","Total"
"2019-09-01 00:00:00",0,2,56,0,292,143,0,124,70,687
"2019-09-01 01:00:00",1,1,26,0,111,71,0,74,38,322
"2019-09-01 02:00:00",0,0,11,0,71,39,0,52,20,193
"2019-09-01 03:00:00",0,0,10,0,48,39,0,45,22,164
"2019-09-01 04:00:00",1,0,4,0,35,19,0,31,18,108
"2019-09-01 05:00:00",0,0,2,0,32,21,0,46,27,128
"2019-09-01 06:00:00",0,1,14,0,74,37,0,80,43,249
"2019-09-01 07:00:00",1,3,29,0,137,61,0,140,98,469
"2019-09-01 08:00:00",2,2,28,0,255,114,0,179,165,745
"2019-09-01 09:00:00",5,13,71,0,389,178,0,267,278,1201
"2019-09-01 10:00:00",6,16,151,0,633,249,0,402,462,1919
"2019-09-01 11:00:00",8,21,169,0,744,252,0,506,547,2247
"2019-09-01 12:00:00",4,12,208,0,747,295,0,542,630,2438
"2019-09-01 13:00:00",10,14,178,0,773,274,0,491,537,2277
"2019-09-01 14:00:00",5,16,144,0,796,302,0,425,492,2180
"2019-09-01 15:00:00",6,8,150,0,710,289,0,385,432,1980
"2019-09-01 16:00:00",5,11,132,0,714,310,0,354,421,1947
"2019-09-01 17:00:00",8,13,173,0,785,319,0,371,390,2059
"2019-09-01 18:00:00",8,10,172,0,783,301,0,388,430,2092
"2019-09-01 19:00:00",6,18,132,0,725,304,0,369,368,1922
"2019-09-01 20:00:00",6,11,127,0,674,275,0,316,304,1713
"2019-09-01 21:00:00",3,6,77,0,478,235,0,214,198,1211
"2019-09-01 22:00:00",3,6,42,0,250,136,0,126,87,650
"2019-09-01 23:00:00",1,2,19,0,114,75,0,86,37,334
"2019-09-02 00:00:00",5,1,16,0,45,36,0,35,18,156
"2019-09-02 01:00:00",0,1,10,0,28,14,0,22,9,84
"2019-09-02 02:00:00",1,0,0,0,9,9,0,8,6,33
"2019-09-02 03:00:00",0,0,4,0,10,6,0,11,4,35
"2019-09-02 04:00:00",1,1,9,0,26,7,0,23,16,83
"2019-09-02 05:00:00",0,1,14,0,54,18,0,87,56,230
"2019-09-02 06:00:00",4,4,69,0,205,71,0,310,305,968
"2019-09-02 07:00:00",5,8,162,0,710,226,0,587,651,2349
"2019-09-02 08:00:00",5,26,202,0,1015,357,0,545,624,2774
"2019-09-02 09:00:00",7,6,207,0,779,325,0,523,577,2424
"2019-09-02 10:00:00",10,8,196,0,767,297,0,481,527,2286
"2019-09-02 11:00:00",17,19,198,0,1008,393,0,515,570,2720
"2019-09-02 12:00:00",13,18,248,0,1111,412,0,536,592,2930
"2019-09-02 13:00:00",34,16,238,0,970,374,0,461,511,2604
"2019-09-02 14:00:00",12,20,226,0,978,360,0,437,521,2554
"2019-09-02 15:00:00",13,15,201,0,962,349,0,456,486,2482
"2019-09-02 16:00:00",11,16,208,0,1194,423,0,519,579,2950
"2019-09-02 17:00:00",13,24,241,0,1332,437,0,530,609,3186
"2019-09-02 18:00:00",17,14,177,0,1036,351,0,458,531,2584
"2019-09-02 19:00:00",13,11,156,0,779,332,0,334,380,2005
"2019-09-02 20:00:00",1,3,91,0,544,238,0,267,283,1427
"2019-09-02 21:00:00",3,4,78,0,355,166,0,188,166,960
"2019-09-02 22:00:00",4,3,46,0,186,84,0,104,75,502
"2019-09-02 23:00:00",1,4,19,0,120,71,0,57,29,301
"2019-09-03 00:00:00",1,0,6,0,106,48,0,37,16,214
"2019-09-03 01:00:00",0,0,6,0,23,17,0,21,8,75
"2019-09-03 02:00:00",0,0,1,0,21,11,0,19,7,59
"2019-09-03 03:00:00",0,0,1,0,18,7,0,14,11,51
"2019-09-03 04:00:00",0,1,5,0,24,8,0,27,22,87
"2019-09-03 05:00:00",0,2,18,0,69,20,0,96,69,274
"2019-09-03 06:00:00",2,11,74,0,196,60,0,337,359,1039
"2019-09-03 07:00:00",7,8,207,0,862,240,0,676,776,2776
"2019-09-03 08:00:00",13,12,248,0,1232,422,0,638,776,3341
"2019-09-03 09:00:00",11,13,160,0,756,287,0,394,475,2096
"2019-09-03 10:00:00",11,18,188,0,756,296,0,425,434,2128
"2019-09-03 11:00:00",10,22,205,0,883,318,0,457,494,2389
"2019-09-03 12:00:00",9,19,220,0,905,327,0,489,530,2499
"2019-09-03 13:00:00",16,22,241,0,915,331,0,451,530,2506
"2019-09-03 14:00:00",9,22,195,0,870,314,0,449,498,2357
"2019-09-03 15:00:00",16,20,219,0,968,332,0,467,471,2493
"2019-09-03 16:00:00",18,19,196,0,1216,422,0,477,560,2908
"2019-09-03 17:00:00",9,28,236,0,1371,437,0,598,684,3363
"2019-09-03 18:00:00",10,18,194,0,1170,401,0,468,491,2752
"2019-09-03 19:00:00",7,11,154,0,884,313,0,393,413,2175
"2019-09-03 20:00:00",9,13,132,0,690,269,0,269,291,1673
"2019-09-03 21:00:00",4,7,84,0,419,198,0,215,198,1125
"2019-09-03 22:00:00",7,7,50,0,215,119,0,150,116,664
"2019-09-03 23:00:00",3,2,23,0,158,80,0,78,36,380
"2019-09-04 00:00:00",1,0,7,0,100,61,0,44,33,246
