Name,Subscribers,Channel,Notes
"Evelina Parkere","70.5K",https://www.youtube.com/channel/UCKHXkDnmcKHXQLAkoQInFXQ/videos,
"Mellenbergi.","21K",https://www.youtube.com/channel/UC1KCdEfvRnj_yvqyj4J0dWg/videos,"Baiba un Gustavs"
"Bea Jonite","183K",https://www.youtube.com/user/xochanelegance/videos,
"CilvēksArKameru","15.3K",https://www.youtube.com/user/Frankolv/videos,
"Dorothea","23.5K",https://www.youtube.com/user/DorotheaTV/videos,
"Edžusšovs","21.8K",https://www.youtube.com/user/MrJebzy/videos,
"Emilija Young","12.9K",https://www.youtube.com/channel/UC90cwDWLr8ZKXSyHFcol1xA/videos,
"FIZMIX lv","1.2K",https://www.youtube.com/user/FizMixportal/videos,
"FunFaceTV","86.2K",https://www.youtube.com/user/funfacetv/videos,
"Laurlācis","47.9K",https://www.youtube.com/user/UnicornQueeny/videos,
"Mr Anderson","44K",https://www.youtube.com/user/KuRm1S/videos,
"niklavs","50.8K",https://www.youtube.com/channel/UCJbq_DPMHarQShszyXfB9dA/videos,
"PieciLV","22.1K",https://www.youtube.com/user/PieciLV/videos,
"Pipars LV","13K",https://www.youtube.com/user/pukerojs/videos,
"Re:Baltica","985",https://www.youtube.com/user/rebaltica/videos,
"RigaTV 24","5.4K",https://www.youtube.com/user/tv24zinas/videos,
"Sindija","46.4K",https://www.youtube.com/user/Sindijalo/videos,
"Uldons TV","58.8K",https://www.youtube.com/user/ozonators00/videos,
"PewDiePie","101M",https://www.youtube.com/user/PewDiePie/videos
"Tucker","1.26M",https://www.youtube.com/channel/UCNSzfesc7IgWZwg4n6uXr1A/videos,


